UNK,Sentiment,Emotion
11001,negative,worried
01110,neutral,neutral
01110,neutral,neutral
01110,negative,depress
01110,negative,depress
01110,negative,depress
01110,negative,depress
11001,negative,worried
11001,negative,worried
11001,negative,worried
11001,negative,worried
11001,negative,worried
11001,negative,worried
11001,negative,worried
11001,negative,depress
11001,negative,depress
11001,negative,depress
11001,negative,depress
11001,negative,negative-other
11001,negative,negative-other
01110,negative,depress
01110,negative,depress
01110,negative,depress
11001,neutral,neutral
11001,neutral,neutral
11001,neutral,neutral
11001,neutral,neutral
11001,negative,anger
11001,negative,anger
11001,negative,anger
11001,negative,anger
11001,negative,anger
11001,negative,anger
11001,negative,anger
11001,negative,depress
01110,negative,anger
01110,negative,anger
01110,negative,anger
01110,negative,anger
01110,negative,anger
01110,negative,anger
01110,negative,anger
11001,negative,negative-other
01110,negative,negative-other
01110,negative,negative-other
11001,negative,negative-other
11001,negative,anger
11001,negative,negative-other
11001,negative,negative-other
11001,negative,negative-other
11001,negative,negative-other
11001,negative,negative-other
01110,negative,depress
01110,negative,depress
01110,negative,negative-other
01110,negative,negative-other
01110,negative,negative-other
11001,negative,depress
11001,negative,depress
11001,negative,depress
11001,negative,depress
11001,negative,depress
11001,negative,depress
01110,negative,depress
01110,negative,depress
11001,negative,anger
11001,negative,negative-other
11001,negative,negative-other
11001,negative,negative-other
11001,negative,negative-other
11001,negative,negative-other
11001,negative,negative-other
11001,negative,negative-other
11001,negative,negative-other
11001,negative,negative-other
11001,negative,negative-other
11001,negative,negative-other
11001,negative,negative-other
11001,negative,negative-other
01110,negative,negative-other
01110,negative,negative-other
11001,negative,negative-other
11001,negative,negative-other
11001,negative,negative-other
11001,negative,negative-other
11001,negative,negative-other
11001,negative,negative-other
11001,negative,depress
01110,negative,negative-other
01110,neutral,neutral
01111,neutral,neutral
01111,neutral,neutral
01111,neutral,neutral
11001,negative,worried
01111,neutral,neutral
11001,negative,worried
01110,negative,negative-other
11001,negative,worried
11001,negative,worried
01111,neutral,neutral
01111,neutral,neutral
01111,neutral,neutral
11001,neutral,neutral
11001,neutral,neutral
11001,neutral,neutral
11001,neutral,neutral
11001,neutral,neutral
11001,neutral,neutral
11001,neutral,neutral
11001,neutral,neutral
01111,neutral,neutral
11001,neutral,neutral
11001,neutral,neutral
11001,neutral,neutral
01111,neutral,neutral
11001,neutral,neutral
01111,neutral,neutral
11001,neutral,neutral
01111,neutral,neutral
11001,negative,depress
11001,negative,depress
11001,negative,depress
11001,negative,depress
11001,negative,depress
01111,neutral,neutral
01111,neutral,neutral
11001,negative,worried
11001,negative,worried
01111,negative,negative-other
11001,negative,anger
11001,negative,anger
11001,negative,anger
11001,negative,depress
01111,neutral,neutral
01111,neutral,neutral
01111,neutral,neutral
01111,neutral,neutral
01111,neutral,neutral
11001,negative,negative-other
01111,neutral,neutral
11001,negative,negative-other
01111,neutral,neutral
01111,neutral,neutral
01111,neutral,neutral
01111,neutral,neutral
01111,neutral,neutral
11001,negative,anger
11001,negative,anger
11001,negative,anger
01111,neutral,neutral
01111,neutral,neutral
01111,neutral,neutral
01111,neutral,neutral
01111,neutral,neutral
01111,neutral,neutral
01111,neutral,neutral
01111,neutral,neutral
01111,neutral,neutral
01111,neutral,neutral
01111,neutral,neutral
01111,neutral,neutral
01111,neutral,neutral
01111,neutral,neutral
11001,positive,relaxed
01111,positive,relaxed
01111,positive,relaxed
11001,negative,astonished
11001,negative,negative-other
01111,neutral,neutral
11001,negative,negative-other
11001,negative,negative-other
01111,neutral,neutral
01111,positive,relaxed
01111,positive,relaxed
01110,positive,relaxed
01110,positive,relaxed
01111,positive,relaxed
01110,positive,relaxed
01111,positive,relaxed
01110,positive,relaxed
01111,positive,relaxed
01111,positive,relaxed
01110,positive,relaxed
01110,positive,relaxed
01110,positive,relaxed
01111,positive,relaxed
01111,positive,relaxed
01111,positive,relaxed
01111,positive,relaxed
01111,positive,relaxed
01110,positive,happy
01111,positive,relaxed
01111,positive,relaxed
01111,positive,relaxed
01111,positive,relaxed
01110,positive,relaxed
01111,positive,relaxed
01111,positive,relaxed
01111,positive,relaxed
01111,positive,relaxed
01110,positive,relaxed
01111,positive,relaxed
01111,positive,relaxed
01111,positive,relaxed
01111,positive,relaxed
01111,positive,relaxed
01111,positive,relaxed
01111,positive,relaxed
01111,positive,relaxed
01111,positive,relaxed
01110,positive,relaxed
01111,positive,relaxed
01111,positive,relaxed
01111,positive,relaxed
01111,positive,relaxed
01111,positive,relaxed
01111,positive,relaxed
01111,positive,relaxed
01111,positive,happy
01111,positive,happy
10010,neutral,neutral
10010,neutral,neutral
10010,neutral,neutral
10010,negative,depress
10010,negative,depress
01111,neutral,neutral
01111,neutral,neutral
10111,neutral,neutral
10001,neutral,neutral
10111,negative,astonished
10001,neutral,neutral
10111,positive,happy
10001,negative,depress
10001,neutral,neutral
10001,neutral,neutral
10111,positive,positive-other
10001,neutral,neutral
10001,neutral,neutral
10111,negative,astonished
10001,neutral,neutral
10001,neutral,neutral
10111,negative,depress
10001,negative,negative-other
10001,negative,negative-other
10001,negative,negative-other
10111,negative,negative-other
10001,neutral,neutral
10001,neutral,neutral
10111,neutral,neutral
10111,neutral,neutral
10001,positive,happy
10111,neutral,neutral
10001,positive,happy
10001,positive,happy
10111,negative,negative-other
10111,negative,negative-other
10001,neutral,neutral
10001,neutral,neutral
10001,neutral,neutral
10001,neutral,neutral
10111,neutral,neutral
10111,positive,happy
10111,positive,happy
10001,positive,relaxed
10001,positive,relaxed
10001,positive,relaxed
10001,positive,relaxed
10001,positive,relaxed
10111,positive,relaxed
10001,positive,relaxed
10001,positive,relaxed
10111,positive,relaxed
10001,positive,relaxed
10001,positive,relaxed
10111,positive,relaxed
10001,positive,relaxed
10001,positive,relaxed
10001,positive,relaxed
10001,positive,relaxed
10111,positive,happy
10001,positive,relaxed
10001,positive,relaxed
10001,positive,relaxed
10001,positive,relaxed
10001,positive,relaxed
10001,positive,relaxed
10001,positive,relaxed
10001,positive,relaxed
10001,positive,relaxed
10001,positive,relaxed
10001,positive,relaxed
10001,positive,relaxed
10001,negative,negative-other
10111,negative,negative-other
10111,neutral,neutral
10001,positive,relaxed
10001,positive,relaxed
10111,negative,depress
10001,positive,relaxed
10001,positive,relaxed
01111,positive,happy
10001,positive,happy
10001,positive,happy
10001,positive,happy
10001,positive,happy
10001,positive,happy
10001,positive,happy
10001,positive,relaxed
01111,positive,relaxed
01111,positive,relaxed
01111,positive,relaxed
01111,positive,relaxed
01111,positive,relaxed
10001,positive,relaxed
01111,positive,relaxed
10001,neutral,neutral
10001,neutral,neutral
01111,neutral,neutral
01111,neutral,neutral
10001,neutral,neutral
10001,neutral,neutral
10111,negative,fear
10111,negative,fear
10111,negative,fear
10111,negative,anger
10001,negative,anger
10001,negative,anger
10111,negative,depress
10001,negative,anger
10001,negative,anger
10001,negative,anger
10111,negative,anger
10111,negative,anger
10001,negative,anger
10111,negative,anger
10001,negative,anger
11001,neutral,neutral
11001,neutral,neutral
11001,neutral,neutral
11001,neutral,neutral
11001,neutral,neutral
01110,negative,astonished
01110,negative,depress
01110,negative,depress
01110,negative,depress
11001,neutral,neutral
11001,neutral,neutral
11001,neutral,neutral
11001,negative,worried
11001,negative,worried
11001,negative,worried
01110,neutral,neutral
01110,neutral,neutral
01110,neutral,neutral
01110,neutral,neutral
01110,neutral,neutral
01110,neutral,neutral
11001,negative,anger
11001,negative,anger
11001,negative,anger
11001,negative,anger
11001,negative,anger
11001,negative,anger
11001,negative,anger
01110,negative,depress
01110,negative,depress
01110,negative,depress
01110,negative,depress
11001,negative,negative-other
01110,negative,negative-other
01110,negative,negative-other
11001,negative,negative-other
11001,negative,negative-other
11001,negative,negative-other
11001,negative,negative-other
11001,negative,negative-other
01110,neutral,neutral
01110,neutral,neutral
10011,neutral,neutral
01110,neutral,neutral
01110,neutral,neutral
01110,neutral,neutral
01110,neutral,neutral
01110,neutral,neutral
01110,neutral,neutral
10011,neutral,neutral
10011,neutral,neutral
01110,neutral,neutral
01110,neutral,neutral
01110,neutral,neutral
01110,neutral,neutral
01110,neutral,neutral
01110,neutral,neutral
01110,neutral,neutral
01110,negative,negative-other
01110,negative,negative-other
01110,negative,negative-other
10011,neutral,neutral
01110,neutral,neutral
01110,positive,relaxed
01110,positive,relaxed
01110,positive,relaxed
10011,neutral,neutral
01110,positive,relaxed
01110,positive,relaxed
10011,neutral,neutral
01110,negative,depress
10011,neutral,neutral
10011,neutral,neutral
01110,positive,relaxed
01110,positive,relaxed
01110,positive,relaxed
10011,positive,relaxed
01110,negative,anger
01110,negative,depress
01110,negative,depress
01110,negative,depress
01110,negative,depress
10011,neutral,neutral
01110,positive,relaxed
01110,positive,relaxed
01110,positive,relaxed
01110,neutral,neutral
01110,neutral,neutral
10011,neutral,neutral
10011,neutral,neutral
01110,negative,depress
01110,neutral,neutral
01110,neutral,neutral
01110,neutral,neutral
10011,neutral,neutral
01110,neutral,neutral
01110,positive,positive-other
01110,negative,astonished
10011,neutral,neutral
10011,neutral,neutral
01110,neutral,neutral
01110,neutral,neutral
01110,neutral,neutral
01110,neutral,neutral
01110,neutral,neutral
01110,neutral,neutral
01110,neutral,neutral
01110,neutral,neutral
01110,neutral,neutral
01110,neutral,neutral
01110,neutral,neutral
01110,neutral,neutral
10011,neutral,neutral
01110,neutral,neutral
11001,negative,astonished
11001,negative,astonished
10011,neutral,neutral
11001,negative,worried
10011,neutral,neutral
11001,negative,worried
11001,negative,worried
11001,negative,worried
11001,neutral,neutral
11001,neutral,neutral
11001,neutral,neutral
11001,neutral,neutral
10011,neutral,neutral
10011,neutral,neutral
11001,positive,positive-other
11001,positive,positive-other
11001,positive,positive-other
10011,neutral,neutral
11001,positive,relaxed
11001,neutral,neutral
10011,neutral,neutral
10011,neutral,neutral
01111,negative,anger
01111,negative,anger
01110,neutral,neutral
01110,neutral,neutral
01110,neutral,neutral
01111,negative,depress
01111,negative,depress
01110,positive,relaxed
01110,positive,relaxed
01110,positive,relaxed
01110,positive,relaxed
01111,negative,anger
10111,negative,fear
10001,negative,astonished
10001,negative,astonished
10111,negative,negative-other
10111,neutral,neutral
10001,negative,astonished
10111,neutral,neutral
10111,neutral,neutral
10001,negative,negative-other
10111,neutral,neutral
10111,neutral,neutral
10111,neutral,neutral
10111,neutral,neutral
10001,negative,worried
10111,neutral,neutral
10111,neutral,neutral
10001,negative,negative-other
10001,negative,negative-other
10111,neutral,neutral
10001,negative,negative-other
10001,negative,negative-other
10111,positive,positive-other
10111,positive,positive-other
10001,positive,happy
10001,positive,happy
10001,positive,positive-other
10111,positive,positive-other
10111,positive,positive-other
10001,negative,depress
10001,negative,anger
10001,negative,anger
10001,negative,anger
10001,negative,anger
10001,negative,anger
10001,negative,anger
10001,negative,anger
10001,negative,anger
10001,negative,anger
10001,negative,anger
01111,negative,depress
10001,negative,depress
01111,negative,negative-other
01111,negative,negative-other
01111,negative,negative-other
01111,negative,negative-other
01111,negative,negative-other
01111,negative,negative-other
01111,negative,negative-other
01111,negative,negative-other
01111,negative,negative-other
01111,negative,negative-other
01111,negative,negative-other
01111,negative,negative-other
01111,negative,negative-other
10001,negative,negative-other
10001,negative,depress
10001,negative,depress
10001,negative,depress
10001,neutral,neutral
10001,negative,negative-other
10001,negative,negative-other
10001,negative,negative-other
10001,negative,anger
10001,negative,depress
10001,negative,depress
10001,negative,depress
10001,negative,depress
10001,negative,anger
01111,negative,negative-other
01111,negative,negative-other
01111,negative,negative-other
01111,negative,negative-other
01111,negative,negative-other
01111,negative,negative-other
01111,negative,negative-other
01111,negative,negative-other
01111,negative,negative-other
01111,negative,negative-other
01111,negative,negative-other
01111,negative,negative-other
01111,negative,negative-other
10001,negative,sadness
01111,negative,negative-other
01111,negative,negative-other
01111,negative,negative-other
10001,negative,negative-other
11100,negative,anger
11100,negative,anger
01111,neutral,neutral
11100,negative,anger
11100,negative,depress
11100,negative,depress
11100,negative,depress
10001,negative,negative-other
10001,negative,negative-other
10001,negative,negative-other
10001,negative,negative-other
11100,negative,depress
11100,negative,depress
11100,negative,depress
11100,negative,depress
11100,negative,anger
10001,negative,negative-other
11100,negative,depress
10001,negative,negative-other
10001,negative,negative-other
10001,neutral,neutral
10001,neutral,neutral
10111,neutral,neutral
10001,neutral,neutral
10001,neutral,neutral
10001,neutral,neutral
10001,neutral,neutral
10111,neutral,neutral
10001,neutral,neutral
10001,neutral,neutral
10001,neutral,neutral
10001,neutral,neutral
10001,neutral,neutral
10001,neutral,neutral
10001,neutral,neutral
10001,neutral,neutral
10001,neutral,neutral
10001,neutral,neutral
10001,neutral,neutral
10001,neutral,neutral
10001,neutral,neutral
10001,neutral,neutral
10001,neutral,neutral
10001,neutral,neutral
10001,neutral,neutral
10001,neutral,neutral
10001,neutral,neutral
10111,negative,disgust
10111,negative,depress
10001,neutral,neutral
10001,neutral,neutral
10001,neutral,neutral
10111,negative,disgust
10001,neutral,neutral
10001,neutral,neutral
10001,neutral,neutral
10001,neutral,neutral
10111,negative,disgust
10001,neutral,neutral
10111,positive,happy
10001,negative,depress
10001,negative,negative-other
10111,negative,depress
10001,negative,negative-other
10001,neutral,neutral
10001,neutral,neutral
01111,neutral,neutral
01111,neutral,neutral
01111,neutral,neutral
10001,neutral,neutral
01111,neutral,neutral
10001,neutral,neutral
01111,neutral,neutral
01111,neutral,neutral
10001,negative,anger
10001,negative,anger
10001,negative,negative-other
01111,neutral,neutral
01111,neutral,neutral
01111,neutral,neutral
10001,negative,negative-other
01111,neutral,neutral
01111,neutral,neutral
01111,neutral,neutral
01111,neutral,neutral
10001,negative,negative-other
10001,negative,negative-other
01111,neutral,neutral
01111,neutral,neutral
01111,neutral,neutral
10001,neutral,neutral
10001,negative,negative-other
10001,negative,negative-other
01111,neutral,neutral
01111,neutral,neutral
01111,neutral,neutral
01111,neutral,neutral
01111,neutral,neutral
01111,neutral,neutral
01111,neutral,neutral
01111,neutral,neutral
10001,neutral,neutral
11001,positive,relaxed
11001,positive,relaxed
01111,neutral,neutral
11001,positive,relaxed
01111,neutral,neutral
01111,neutral,neutral
01111,neutral,neutral
01111,neutral,neutral
01111,neutral,neutral
11001,positive,relaxed
01111,positive,relaxed
01111,positive,relaxed
01111,neutral,neutral
01111,neutral,neutral
01111,neutral,neutral
11001,negative,negative-other
11001,negative,negative-other
01111,positive,happy
11001,neutral,neutral
01111,neutral,neutral
01111,neutral,neutral
01111,neutral,neutral
01111,neutral,neutral
11001,neutral,neutral
11001,neutral,neutral
01111,negative,astonished
11001,neutral,neutral
